Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Metafield: custom.aliexpress_url [single_line_text_field],Metafield: custom.cost_price [number_decimal],Status
the-sovereign-velvet-crown-lounger,The Sovereign Velvet Crown Lounger,"Luxury living starts at floor level with this furniture-grade masterpiece, designed to complement high-end interiors. This sanctuary provides unparalleled rest for the dog who deserves a royal resting place.",Pawché,,The Penthouse Suite,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living, New Arrivals",TRUE,Size,One Size,,,,,3256812025196002,0,shopify,100,continue,manual,119.91,,TRUE,TRUE,,https://tmpfiles.org/dl/wkwOgzBeFLPp/the-sovereign-velvet-crown-lounger.png,1,The Sovereign Velvet Crown Lounger - Pawché Luxury Pet Collection,FALSE,The Sovereign Velvet Crown Lounger | Pawché Luxury Dog Lifestyle,"Luxury living starts at floor level with this furniture-grade masterpiece, designed to complement high-end interiors. This sanctuary provides unparalleled...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256812025196002.html,39.97,active
the-chalet-fleece-sanctuary-bed,The Chalet Fleece Sanctuary Bed,"Designed with high-density foam and a velvet cover, this sanctuary of support offers a silhouette of pure luxury. It ensures your pet wakes up refreshed and ready for their next stylish appearance.",Pawché,,The Penthouse Suite,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living",TRUE,Size,One Size,,,,,3256805406832053,0,shopify,100,continue,manual,39.69,,TRUE,TRUE,,https://tmpfiles.org/dl/wLwXgtBzFQ4y/the-chalet-fleece-sanctuary-bed.png,1,The Chalet Fleece Sanctuary Bed - Pawché Luxury Pet Collection,FALSE,The Chalet Fleece Sanctuary Bed | Pawché Luxury Dog Lifestyle,"Designed with high-density foam and a velvet cover, this sanctuary of support offers a silhouette of pure luxury. It ensures your pet wakes up refreshed an...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256805406832053.html,13.23,active
the-versailles-gilded-velvet-dog-throne,The Versailles Gilded Velvet Dog Throne,"This designer refuge is a statement piece that doubles as art, offering a sophisticated sanctuary that integrates perfectly with modern decor. Crafted from premium materials, it redefines the canine home.",Pawché,,The Penthouse Suite,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living",TRUE,Size,One Size,,,,,3256812025196002-V,0,shopify,100,continue,manual,119.91,,TRUE,TRUE,,https://tmpfiles.org/dl/wDw8g4BDOPlu/the-versailles-gilded-velvet-dog-throne.png,1,The Versailles Gilded Velvet Dog Throne - Pawché Luxury Pet Collection,FALSE,The Versailles Gilded Velvet Dog Throne | Pawché Luxury Dog Lifestyle,"This designer refuge is a statement piece that doubles as art, offering a sophisticated sanctuary that integrates perfectly with modern decor. Crafted from...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256812025196002.html,39.97,active
the-palazzo-long-plush-square-lounger,The Palazzo Long-Plush Square Lounger,"Elevate your pet's rest with this orthopedic masterpiece, where sweet dreams are reimagined through the lens of luxury. Its restorative design and high-fashion finish provide a haven of softness.",Pawché,,The Penthouse Suite,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living",TRUE,Size,One Size,,,,,3256807040993559,0,shopify,100,continue,manual,29.99,,TRUE,TRUE,,https://tmpfiles.org/dl/wiwHguB4FgmM/the-palazzo-long-plush-square-lounger.png,1,The Palazzo Long-Plush Square Lounger - Pawché Luxury Pet Collection,FALSE,The Palazzo Long-Plush Square Lounger | Pawché Luxury Dog Lifestyle,"Elevate your pet's rest with this orthopedic masterpiece, where sweet dreams are reimagined through the lens of luxury. Its restorative design and high-fas...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256807040993559.html,3.41,active
the-signature-minimalist-slate-pet-sofa,The Signature Minimalist Slate Pet Sofa,"This silk-lined pet cave offers a sanctuary of darkness and warmth for the pet who prefers a more enclosed resting space. It is a testament to the art of the nap, redefined for the modern home.",Pawché,,The Penthouse Suite,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living",TRUE,Size,One Size,,,,,3256808287469838,0,shopify,100,continue,manual,291.54,,TRUE,TRUE,,https://tmpfiles.org/dl/wCw5gNBxOkZV/the-signature-minimalist-slate-pet-sofa.png,1,The Signature Minimalist Slate Pet Sofa - Pawché Luxury Pet Collection,FALSE,The Signature Minimalist Slate Pet Sofa | Pawché Luxury Dog Lifestyle,This silk-lined pet cave offers a sanctuary of darkness and warmth for the pet who prefers a more enclosed resting space. It is a testament to the art of t...,Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256808287469838.html,97.18,active
the-penthouse-plush-xl-sectional-bed,The Penthouse Plush XL Sectional Bed,This oversized velvet piece offers a haven of softness and a touch of modern opulence for your home. It provides an unparalleled rest for the dog who treats the entire house as their palace.,Pawché,,The Penthouse Suite,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living",TRUE,Size,One Size,,,,,3256810378251913,0,shopify,100,continue,manual,52.20,,TRUE,TRUE,,https://tmpfiles.org/dl/wPwfg7BeFoEL/the-penthouse-plush-xl-sectional-bed.png,1,The Penthouse Plush XL Sectional Bed - Pawché Luxury Pet Collection,FALSE,The Penthouse Plush XL Sectional Bed | Pawché Luxury Dog Lifestyle,This oversized velvet piece offers a haven of softness and a touch of modern opulence for your home. It provides an unparalleled rest for the dog who treat...,Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256810378251913.html,17.4,active
the-professional-gold-tipped-slicker-brush,The Professional Gold-Tipped Slicker Brush,"Redefining the standards of the pet spa, this formula provides a sanctuary of restoration for skin and coat. Each bottle reflects our commitment to excellence and the golden standard of care.",Pawché,,The Spa,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living",TRUE,Size,One Size,,,,,3256807449087595,0,shopify,100,continue,manual,29.99,,TRUE,TRUE,,https://tmpfiles.org/dl/w0wSgMBnFvxk/the-professional-gold-tipped-slicker-brush.png,1,The Professional Gold-Tipped Slicker Brush - Pawché Luxury Pet Collection,FALSE,The Professional Gold-Tipped Slicker Brush | Pawché Luxury Dog Lifestyle,"Redefining the standards of the pet spa, this formula provides a sanctuary of restoration for skin and coat. Each bottle reflects our commitment to excelle...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256807449087595.html,7.41,active
the-waterproof-suede-protective-sofa-cover,The Waterproof Suede Protective Sofa Cover,This orthopedic sofa features a wraparound design for a sense of security and a velvet finish for a touch of opulence. It provides a sanctuary of style and comfort for the most loyal companion.,Pawché,,The Penthouse Suite,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living",TRUE,Size,One Size,,,,,3256806951775610,0,shopify,100,continue,manual,29.99,,TRUE,TRUE,,https://tmpfiles.org/dl/wtw2gPB7FW8S/the-waterproof-suede-protective-sofa-cover.png,1,The Waterproof Suede Protective Sofa Cover - Pawché Luxury Pet Collection,FALSE,The Waterproof Suede Protective Sofa Cover | Pawché Luxury Dog Lifestyle,This orthopedic sofa features a wraparound design for a sense of security and a velvet finish for a touch of opulence. It provides a sanctuary of style and...,Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256806951775610.html,3.49,active
the-penthouse-silk-lined-canine-throw,The Penthouse Silk-Lined Canine Throw,This memory foam masterpiece with a faux-fur lining offers a sanctuary of support and a touch of pure indulgence. A masterpiece of comfort and high-end design for the discerning senior pet.,Pawché,,The Penthouse Suite,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living",TRUE,Size,One Size,,,,,3256805549905580,0,shopify,100,continue,manual,89.99,,TRUE,TRUE,,https://tmpfiles.org/dl/wdwWgCBqOY6J/the-penthouse-silk-lined-canine-throw.png,1,The Penthouse Silk-Lined Canine Throw - Pawché Luxury Pet Collection,FALSE,The Penthouse Silk-Lined Canine Throw | Pawché Luxury Dog Lifestyle,This memory foam masterpiece with a faux-fur lining offers a sanctuary of support and a touch of pure indulgence. A masterpiece of comfort and high-end des...,Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256805549905580.html,28.99,active
the-equestrian-bone-stitched-leather-collar,The Equestrian Bone-Stitched Leather Collar,"Redefining the daily promenade, this piece features a signature gold-toned clip and a celebratory aesthetic. An essential for the stylish owner who demands the best.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Accessory Bar,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living",TRUE,Size,One Size,,,,,3256803032806538,0,shopify,100,continue,manual,29.99,,TRUE,TRUE,,https://tmpfiles.org/dl/www9gzBJOQg2/the-equestrian-bone-stitched-leather-collar.png,1,The Equestrian Bone-Stitched Leather Collar - Pawché Luxury Pet Collection,FALSE,The Equestrian Bone-Stitched Leather Collar | Pawché Luxury Dog Lifestyle,"Redefining the daily promenade, this piece features a signature gold-toned clip and a celebratory aesthetic. An essential for the stylish owner who demands...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256803032806538.html,0.99,active
the-all-season-velvet-deep-sleep-cushion,The All-Season Velvet Deep-Sleep Cushion,"This silk-lined sleeping mask is the ultimate accessory for the pet who takes their beauty rest seriously, offering total darkness and unparalleled comfort. A unique addition to The Sleep Suite.",Pawché,,The Sleep Suite,"Pawché Luxury, Penthouse Suite, Interior, Furniture, Living",TRUE,Size,One Size,,,,,3256805814908702,0,shopify,100,continue,manual,71.16,,TRUE,TRUE,,https://tmpfiles.org/dl/wcwYgKBxOaf1/the-all-season-velvet-deep-sleep-cushion.png,1,The All-Season Velvet Deep-Sleep Cushion - Pawché Luxury Pet Collection,FALSE,The All-Season Velvet Deep-Sleep Cushion | Pawché Luxury Dog Lifestyle,"This silk-lined sleeping mask is the ultimate accessory for the pet who takes their beauty rest seriously, offering total darkness and unparalleled comfort...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256805814908702.html,23.72,active
the-monogram-signature-travel-tote,The Monogram Signature Travel Tote,"Designed for the discerning traveler, this expandable carrier offers extra room and a high-fashion obsidian aesthetic. It is where functionality meets the height of travel luxury.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Getaway,"Pawché Luxury, Getaway, Wearable, Couture, New Arrivals",TRUE,Size,One Size,,,,,3256806890370062,0,shopify,100,continue,manual,120.27,,TRUE,TRUE,,https://tmpfiles.org/dl/wewWg5BEOSKK/the-monogram-signature-travel-tote.png,1,The Monogram Signature Travel Tote - Pawché Luxury Pet Collection,FALSE,The Monogram Signature Travel Tote | Pawché Luxury Dog Lifestyle,"Designed for the discerning traveler, this expandable carrier offers extra room and a high-fashion obsidian aesthetic. It is where functionality meets the...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256806890370062.html,40.09,active
the-mayfair-british-style-airline-tote,The Mayfair British Style Airline Tote,"This luxury pet backpack features a panoramic window and a sophisticated finish, allowing your pet to see the world from a sanctuary of style. Refining the journey for the modern traveler.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Getaway,"Pawché Luxury, Getaway, Wearable, Couture",TRUE,Size,One Size,,,,,3256810363611636,0,shopify,100,continue,manual,130.50,,TRUE,TRUE,,https://tmpfiles.org/dl/wFwrgSBpO7c6/the-mayfair-british-style-airline-tote.png,1,The Mayfair British Style Airline Tote - Pawché Luxury Pet Collection,FALSE,The Mayfair British Style Airline Tote | Pawché Luxury Dog Lifestyle,"This luxury pet backpack features a panoramic window and a sophisticated finish, allowing your pet to see the world from a sanctuary of style. Refining the...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256810363611636.html,43.5,active
the-explorer-plush-chest-pack-carrier,The Explorer Plush Chest-Pack Carrier,"Where high-fashion meets function, this designer piece protects your vehicle's interior while providing a luxurious perch for your pet. It ensures your companion travels in a sanctuary of style.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Getaway,"Pawché Luxury, Getaway, Wearable, Couture",TRUE,Size,One Size,,,,,3256805869699722,0,shopify,100,continue,manual,89.76,,TRUE,TRUE,,https://tmpfiles.org/dl/wfwg6gAgSIb4/the-explorer-plush-chest-pack-carrier.png,1,The Explorer Plush Chest-Pack Carrier - Pawché Luxury Pet Collection,FALSE,The Explorer Plush Chest-Pack Carrier | Pawché Luxury Dog Lifestyle,"Where high-fashion meets function, this designer piece protects your vehicle's interior while providing a luxurious perch for your pet. It ensures your com...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256805869699722.html,29.92,active
the-canine-chic-pu-leather-crossbody-bag,The Canine-Chic PU Leather Crossbody Bag,"This high-rise travel carrier features mesh panels for visibility and a sleek, obsidian finish for a timeless and confident aesthetic. It ensures your pet remains the most stylish traveler.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Getaway,"Pawché Luxury, Getaway, Wearable, Couture",TRUE,Size,One Size,,,,,3256808302645334,0,shopify,100,continue,manual,163.38,,TRUE,TRUE,,https://tmpfiles.org/dl/wswYgbBGOpW4/the-canine-chic-pu-leather-crossbody-bag.png,1,The Canine-Chic PU Leather Crossbody Bag - Pawché Luxury Pet Collection,FALSE,The Canine-Chic PU Leather Crossbody Bag | Pawché Luxury Dog Lifestyle,"This high-rise travel carrier features mesh panels for visibility and a sleek, obsidian finish for a timeless and confident aesthetic. It ensures your pet...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256808302645334.html,54.46,active
the-first-class-space-trolley-explorer,The First-Class Space Trolley Explorer,"This high-end grooming kit from The Spa collection is crafted for precision and style, ensuring a professional finish for every ritual. A ritual of relaxation for the pampered pet.",Pawché,,The Spa,"Pawché Luxury, Getaway, Wearable, Couture",TRUE,Size,One Size,,,,,3256809382520600,0,shopify,100,continue,manual,140.55,,TRUE,TRUE,,https://tmpfiles.org/dl/wWwO6gAISUtH/the-first-class-space-trolley-explorer.png,1,The First-Class Space Trolley Explorer - Pawché Luxury Pet Collection,FALSE,The First-Class Space Trolley Explorer | Pawché Luxury Dog Lifestyle,"This high-end grooming kit from The Spa collection is crafted for precision and style, ensuring a professional finish for every ritual. A ritual of relaxat...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256809382520600.html,46.85,active
the-summit-performance-mesh-backpack,The Summit Performance Mesh Backpack,"Soft, silk-lined interiors in this travel sanctuary provide a gentle touch for the most pampered skin during long journeys. It ensures your pet remains refreshed and refined.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Getaway,"Pawché Luxury, Getaway, Wearable, Couture",TRUE,Size,One Size,,,,,3256811933807866,0,shopify,100,continue,manual,122.31,,TRUE,TRUE,,https://tmpfiles.org/dl/wLwCgOBbOKMt/the-summit-performance-mesh-backpack.png,1,The Summit Performance Mesh Backpack - Pawché Luxury Pet Collection,FALSE,The Summit Performance Mesh Backpack | Pawché Luxury Dog Lifestyle,"Soft, silk-lined interiors in this travel sanctuary provide a gentle touch for the most pampered skin during long journeys. It ensures your pet remains ref...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256811933807866.html,40.77,active
the-continental-premium-leather-travel-tote,The Continental Premium Leather Travel Tote,"This travel tote is the world's most sophisticated runway for the globetrotting companion, ensuring they arrive refreshed and refined. Its high-end construction makes it an essential for every jet-set pet.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Getaway,"Pawché Luxury, Getaway, Wearable, Couture",TRUE,Size,One Size,,,,,3256806087040996,0,shopify,100,continue,manual,175.92,,TRUE,TRUE,,https://tmpfiles.org/dl/wPwegwBuO4VV/the-continental-premium-leather-travel-tote.png,1,The Continental Premium Leather Travel Tote - Pawché Luxury Pet Collection,FALSE,The Continental Premium Leather Travel Tote | Pawché Luxury Dog Lifestyle,"This travel tote is the world's most sophisticated runway for the globetrotting companion, ensuring they arrive refreshed and refined. Its high-end constru...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256806087040996.html,58.64,active
